N_PARCELLE;Date_debut;Date_fin;Type_intervention;Detail_intervention;Crop;N;P;K;MG;S;Herbi;Fongi;Mollus;Insect
P102;2013-08-03;2013-08-04;Travail-sol;Labour;_;0;0;0;0;0;0;0;0;0
P102;2013-08-05;2013-08-05;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P102;2013-10-05;2013-10-05;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P102;2013-10-17;2013-10-17;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P102;2013-10-25;2013-10-25;Traitement;Antilimace;-;0;0;0;0;0;0;0;0.285714285714286;0
P102;2014-04-18;2014-04-18;Traitement;Herbicide;-;0;0;0;0;0;0.833333333333333;0;0;0
P102;2014-05-11;2014-05-11;Traitement;Fongicide;-;0;0;0;0;0;0;1.43333333333333;0;0
P102;2014-09-23;2015-07-06;Culture;Culture principale;Moutarde_hiver;0;0;0;0;0;0;0;0;0
P102;2015-07-06;2015-07-06;Recolte;Culture principale;Moutarde_hiver;0;0;0;0;0;0;0;0;0
P102;2014-07-05;2014-07-05;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P102;2014-07-27;2014-07-27;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
P102;2014-09-01;2014-09-01;Travail-sol;Reprise_de_sol;_;0;0;0;0;0;0;0;0;0
P102;2014-09-20;2014-09-20;Travail-sol;Prep_Semis;_;0;0;0;0;0;0;0;0;0
P102;2014-09-23;2014-09-23;Traitement;Antilimace;-;0;0;0;0;0;0;0;0.285714285714286;0
P102;2015-04-12;2015-04-12;Traitement;Fongicide;-;0;0;0;0;0;0;0.5;0;0
P102;2015-04-28;2015-04-28;Traitement;Fongicide;-;0;0;0;0;0;0;0.5;0;0
P102;2015-04-10;2015-04-10;Traitement;Insecticide;-;0;0;0;0;0;0;0;0;0.5
P102;2014-09-24;2014-09-24;Traitement;Herbicide;-;0;0;0;0;0;1.12;0;0;0
P102;2015-02-10;2015-02-10;Fertilisation;N;_;34;0;0;0;0;0;0;0;0
P102;2015-02-10;2015-02-10;Fertilisation;N;_;73;0;0;0;0;0;0;0;0
P102;2015-02-10;2015-02-10;Fertilisation;N;_;34;0;0;0;70;0;0;0;0
P102;2017-05-13;2017-05-13;Travail-sol;Destruction_Meca;_;0;0;0;0;0;0;0;0;0
P102;2017-06-20;2017-06-20;Travail-sol;Destruction_Meca;_;0;0;0;0;0;0;0;0;0
P102;2017-11-15;2017-11-15;Travail-sol;Destruction_Meca;_;0;0;0;0;0;0;0;0;0
P102;2019-05-13;2019-05-13;Travail-sol;Broyage;_;0;0;0;0;0;0;0;0;0
P102;2019-09-04;2019-09-04;Travail-sol;Broyage;_;0;0;0;0;0;0;0;0;0
P117;2009-10-08;2010-07-20;Culture;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P117;2010-07-20;2010-07-20;Recolte;Culture principale;Ble_tendre_hiver;0;0;0;0;0;0;0;0;0
P117;2009-08-19;2009-08-19;Travail-sol;Dechaumage;_;0;0;0;0;0;0;0;0;0
